id_user,name,address,latitude,longitude,city,state,stars,review_count,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,estrellas
672291,Positano Coast by Aldo Lamberti,"212 Walnut St, Fl 2",39.9467,-75.1447,Philadelphia,PA,3.5,689,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,AAABC
672291,Winslow's Home,7213 Delmar Blvd,38.6578,-90.3214,Saint Louis,MO,4.0,528,06:00-13:00,04:30-12:00,06:00-14:00,06:00-16:00,06:00-16:00,06:00-16:00,06:00-14:00,AAAAC
672291,Drifters,1008B Woodland St,36.1768,-86.7508,Nashville,TN,4.0,277,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-19:00,09:00-19:00,09:00-19:00,AAAAC
672291,The Steakhouse at Circus,"Circus Circus Reno, 500 North Sierra St",39.5315,-119.816,Reno,NV,3.5,80,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:30,09:30-20:30,09:30-20:00,AAABC
672291,Crazy Bowls & Wraps,9635 Manchester Rd,38.6088,-90.3679,Saint Louis,MO,3.5,64,00:00-00:00,17:00-21:00,17:00-21:00,17:00-22:00,17:00-22:00,17:00-22:00,11:00-14:00,AAABC
672291,Grille One Sixteen,15405 N Dale Mabry,28.0922,-82.5018,Tampa,FL,4.0,57,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,11:00-19:00,11:00-19:00,AAAAC
672291,Romarco's,451 E  Baltimore Ave,39.9326,-75.2892,Clifton Heights,PA,3.5,53,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-23:00,AAABC
672291,Poke Ocean,"229 Plaza Blvd, Unit 29A",40.2064,-74.801,Morrisville,PA,4.5,52,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-01:00,11:00-01:00,12:00-00:00,AAAAB
672291,Steak ’n Shake,520 N Town Center Rd,39.6202,-86.3539,Mooresville,IN,2.0,43,09:00-16:00,08:30-17:00,08:30-19:30,08:30-19:30,08:30-17:30,08:00-17:00,00:00-00:00,AACCC
762612,Twin Peaks,6880 E 82nd St,39.9063,-86.0475,Indianapolis,IN,3.5,257,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAABC
762612,Caviar & Bananas,2031 Broadway,36.1484,-86.7989,Nashville,TN,3.5,159,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAABC
762612,Doc Magrogan's Oyster House - West Chester,117 E Gay St,39.9615,-75.6036,West Chester,PA,3.0,114,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAACC
762612,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,38.8966,-90.1862,Alton,IL,3.0,94,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAACC
762612,St Honore Pastries,935 Race St,39.9555,-75.1556,Philadelphia,PA,4.0,80,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-21:00,07:00-21:00,07:00-21:00,AAAAC
762612,Craft Hall,901 N Delaware Ave,39.9626,-75.1357,Philadelphia,PA,3.5,65,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAABC
762612,Lafitte's Landing Seafood House,1700 Lapalco Blvd,29.8755,-90.0494,Harvey,LA,2.5,38,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AABCC
762612,New Orleans Spirit Tours,723 St Peter St,29.9584,-90.0652,New Orleans,LA,4.0,38,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAAAC
762612,Fairfield Inn & Suites,719 E Baltimore Pike,39.8562,-75.6946,Kennett Square,PA,3.0,37,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,AAACC
1241051,Jet Rock Bar & Grill,"8000 Essington Ave, Terminal D- Gate 13, Philadelphia International Airport",39.8755,-75.2381,Philadelphia,PA,2.0,244,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,00:00-00:00,AACCC
1241051,Restaurant Alba,7 W King St,40.036,-75.5149,Malvern,PA,4.0,181,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,09:30-18:00,00:00-00:00,AAAAC
1241051,NI HAO TEA,4726 E Broadway Blvd,32.2209,-110.89,Tucson,AZ,4.5,179,17:00-22:00,17:00-22:00,17:30-22:00,17:00-22:00,17:00-22:00,17:00-22:00,17:00-22:00,AAAAB
1241051,Sloco,2905 12th Ave S,36.1213,-86.7906,Nashville,TN,3.5,165,09:00-16:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-18:00,00:00-00:00,AAABC
1241051,Channel Islands Outfitters,117 B Harbor Way,34.4037,-119.694,Santa Barbara,CA,5.0,107,00:00-00:00,00:00-00:00,15:30-19:30,15:30-19:30,15:30-19:30,09:00-16:00,00:00-00:00,AAAAA
1241051,Toula's Creole Kitchen,109 Tchoupitoulas St,29.9509,-90.0665,New Orleans,LA,4.0,87,00:00-00:00,14:00-23:00,11:00-15:00,14:00-23:00,14:00-00:00,12:00-00:00,12:00-23:00,AAAAC
1241051,Kinsey's Italian Cafe,6383 W Broadway,39.8929,-85.925,Mc Cordsville,IN,4.0,78,00:00-00:00,11:00-20:00,11:00-21:00,11:00-20:00,11:00-22:00,10:00-22:00,10:00-21:00,AAAAC
1241051,Olde City Tattoo,44 S 2nd St,39.9489,-75.1441,Philadelphia,PA,3.5,77,16:00-00:00,16:00-00:00,16:00-00:00,16:00-00:00,16:00-02:00,16:00-02:00,16:00-00:00,AAABC
1241051,La Terraza,5751 Nolensville Pike,36.0474,-86.7151,Nashville,TN,3.5,65,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-22:00,07:30-19:00,AAABC
1870361,Lux Nails & Spa,771 Chapala St,34.4182,-119.7,Santa Barbara,CA,4.0,332,00:00-00:00,06:00-17:30,06:00-17:30,06:00-17:30,06:00-17:30,06:00-17:30,00:00-00:00,AAAAC
1870361,Richard Nicholas Hair Studio,1716 Sansom St,39.9506,-75.1696,Philadelphia,PA,4.0,186,00:00-00:00,09:00-19:30,09:00-19:30,09:00-19:30,09:00-21:00,09:00-21:00,00:00-00:00,AAAAC
1870361,The Post East,"1701 Fatherland St, Ste A",36.1734,-86.7396,Nashville,TN,4.0,177,00:00-00:00,08:30-17:30,08:30-17:30,08:30-17:30,08:30-17:30,08:00-13:00,00:00-00:00,AAAAC
1870361,Layla,"20 Allen Ave, Ste 130",38.594,-90.3609,Webster Groves,MO,4.0,138,00:00-00:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-17:00,00:00-00:00,AAAAC
1870361,Saku,"1839 E Ridge Pike, Ste 20",40.2141,-75.4983,Royersford,PA,4.5,115,00:00-00:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-21:00,10:00-21:00,11:00-18:00,AAAAB
1870361,Durham Deli,2486 Durham Rd,40.1304,-74.8857,Bristol,PA,4.5,82,00:00-00:00,09:30-19:00,09:30-19:00,09:00-12:00,11:30-14:00,10:00-17:00,00:00-00:00,AAAAB
